2025-07-02 09:45:48.262 | WARNING  | adapters.download_file:download_pdf:116 - Error 429 : too many requests for Naveruclif. Retrying...(5/5)
2025-07-02 09:45:55.216 | WARNING  | adapters.download_file:download_pdf:116 - Error 429 : too many requests for Levetiracetam-actavis. Retrying...(3/5)
2025-07-02 09:45:55.778 | WARNING  | adapters.download_file:download_pdf:116 - Error 429 : too many requests for Bropair-spiromax. Retrying...(5/5)
2025-07-02 09:45:56.912 | ERROR    | adapters.download_file:download_pdf:121 - Error: Maximum number of retries (5) reached for Naveruclif
2025-07-02 09:45:56.915 | INFO     | adapters.download_file:download_pdf:136 - Naveruclif recorded in failed_urls_authorised.csv
2025-07-02 09:45:56.917 | INFO     | adapters.download_file:download_pdf:91 - Downloading Keppra/1477 : Keppra
2025-07-02 09:45:57.164 | SUCCESS  | adapters.download_file:download_pdf:99 - Success: Keppra
2025-07-02 09:45:57.165 | INFO     | adapters.download_file:download_pdf:91 - Downloading Levetiracetam-ratiopharm/1477 : Levetiracetam-ratiopharm
2025-07-02 09:45:57.209 | WARNING  | adapters.download_file:download_pdf:116 - Error 429 : too many requests for Levetiracetam-ratiopharm. Retrying...(1/5)
2025-07-02 09:45:57.446 | WARNING  | adapters.download_file:download_pdf:116 - Error 429 : too many requests for Glyxambi. Retrying...(2/5)
2025-07-02 09:45:59.131 | ERROR    | adapters.download_file:download_pdf:121 - Error: Maximum number of retries (5) reached for Synjardy
2025-07-02 09:45:59.134 | INFO     | adapters.download_file:download_pdf:136 - Synjardy recorded in failed_urls_authorised.csv
2025-07-02 09:45:59.134 | INFO     | adapters.download_file:download_pdf:91 - Downloading Levetiracetam-teva/1477 : Levetiracetam-teva
2025-07-02 09:45:59.173 | WARNING  | adapters.download_file:download_pdf:116 - Error 429 : too many requests for Levetiracetam-teva. Retrying...(1/5)
2025-07-02 09:46:00.245 | WARNING  | adapters.download_file:download_pdf:116 - Error 429 : too many requests for Levetiracetam-ratiopharm. Retrying...(2/5)
2025-07-02 09:46:00.780 | ERROR    | adapters.download_file:download_pdf:121 - Error: Maximum number of retries (5) reached for Bropair-spiromax
2025-07-02 09:46:00.789 | INFO     | adapters.download_file:download_pdf:136 - Bropair-spiromax recorded in failed_urls_authorised.csv
2025-07-02 09:46:00.789 | INFO     | adapters.download_file:download_pdf:91 - Downloading Emtricitabine-tenofovir-disoproxil-mylan/1477 : Emtricitabine-tenofovir-disoproxil-mylan
2025-07-02 09:46:00.824 | WARNING  | adapters.download_file:download_pdf:116 - Error 429 : too many requests for Emtricitabine-tenofovir-disoproxil-mylan. Retrying...(1/5)
2025-07-02 09:46:01.868 | WARNING  | adapters.download_file:download_pdf:116 - Error 429 : too many requests for Emtricitabine-tenofovir-disoproxil-mylan. Retrying...(2/5)
2025-07-02 09:46:02.285 | WARNING  | adapters.download_file:download_pdf:116 - Error 429 : too many requests for Levetiracetam-ratiopharm. Retrying...(3/5)
2025-07-02 09:46:03.240 | WARNING  | adapters.download_file:download_pdf:116 - Error 429 : too many requests for Levetiracetam-teva. Retrying...(2/5)
2025-07-02 09:46:05.564 | SUCCESS  | adapters.download_file:download_pdf:99 - Success: Glyxambi
2025-07-02 09:46:05.564 | INFO     | adapters.download_file:download_pdf:91 - Downloading Levetiracetam-actavis-group/1477 : Levetiracetam-actavis-group
2025-07-02 09:46:05.602 | WARNING  | adapters.download_file:download_pdf:116 - Error 429 : too many requests for Levetiracetam-actavis-group. Retrying...(1/5)
